Date,bdl_Open,bdl_High,bdl_Low,bdl_Close,bdl_Adj Close,bdl_Volume,hal_Open,hal_High,hal_Low,hal_Close,hal_Adj Close,hal_Volume,zentec_Open,zentec_High,zentec_Low,zentec_Close,zentec_Adj Close,zentec_Volume,,,
11-06-2018,396.649994,407.450012,390.200012,402.200012,358.900391,157472,990.549988,1008,949.049988,968.5,825.194397,277116,87.400002,89.599998,83.5,84.25,83.114326,518620,,,
18-06-2018,401.5,403.399994,379,380.700012,339.714996,95454,966,968.5,896,914.400024,779.099426,94876,84.949997,115.400002,82.550003,107.349998,105.902939,6759663,,,
25-06-2018,380.75,386,370,376.149994,335.654846,104468,910,913.950012,840,844.400024,719.457092,91489,107.349998,108,87.75,95.199997,93.916718,575585,,,
02-07-2018,378.350006,380,368,374.799988,334.450195,78842,844.200012,878.950012,824,828.75,706.122681,61868,98.349998,98.349998,86.550003,88.199997,87.011078,270719,,,
09-07-2018,374.799988,386.149994,367.5,368.75,329.051514,131936,830,855.900024,818.049988,826.75,704.41864,61318,88.199997,95,86,86.550003,85.383324,211205,,,
16-07-2018,365,368.450012,341.5,342.899994,305.984497,155159,819.200012,823.799988,780,785.049988,668.888916,70054,86.349998,88,78.150002,82.550003,81.437248,249728,,,
23-07-2018,342.799988,350.25,333,342.350006,305.493713,204268,780.049988,798.099976,770.049988,789.299988,672.509949,65088,86.5,90.050003,83.050003,85.449997,84.298149,209194,,,
30-07-2018,342.100006,389,342.100006,376.549988,336.011749,317341,791,990.900024,791,962.849976,820.380432,607258,87.400002,90.349998,83.099998,89.949997,88.737495,182952,,,
06-08-2018,376,386.200012,365.049988,377.899994,337.216461,180909,972.5,1013,943.849976,976.799988,832.266296,164575,89.949997,94,86.550003,87.099998,85.925911,182340,,,
13-08-2018,375,385.25,360.200012,367,327.489868,162417,956.849976,999,925.349976,935.450012,797.034668,105863,85.400002,86.099998,77.449997,83.400002,82.275787,307169,,,
20-08-2018,367,374.899994,358,358.75,320.128052,73227,926.049988,936.900024,891,895.150024,762.697815,40757,83.400002,86,82.349998,82.900002,81.782524,110821,,,
27-08-2018,365,365,348.600006,349.950012,312.275452,89422,925,932.849976,885,892.25,760.226807,53389,81.800003,89,80,84.650002,83.508934,221857,,,
03-09-2018,350,362,342,348.049988,310.580017,173588,900,938.799988,855.099976,922,785.574829,144991,84.199997,88.800003,78,80.900002,79.809494,269527,,,
10-09-2018,350.850006,356.399994,340.049988,347.549988,310.13382,337895,922,945.049988,900,932.299988,794.350769,76045,81.349998,82.349998,76,78.449997,77.392502,249805,,,
17-09-2018,345.100006,379.25,310,319.600006,285.19281,619154,920,968.150024,890,905.75,771.729248,95766,80,85.900002,76.650002,76.849998,75.814072,210810,,,
24-09-2018,320,323.950012,280,280.450012,255.584915,153812,912.950012,930.549988,777,779.799988,664.41571,56472,78,79.199997,68.199997,69.800003,68.941826,326543,,,
01-10-2018,280.450012,287.950012,275,276.100006,251.620575,91723,795,827.700012,789.450012,792.200012,674.980835,45801,70.050003,73.199997,63.299999,63.400002,62.620514,176453,,,
08-10-2018,275,287,265,282.899994,257.817627,129205,791,795.049988,755.299988,778.150024,663.009827,58323,60.549999,62.950001,55.150002,61,60.250019,293215,,,
15-10-2018,279,299,274.600006,277.75,253.124252,88974,777.900024,820.450012,775.099976,779.799988,664.41571,30957,62.049999,70.599998,62,63.150002,62.373589,194476,,,
22-10-2018,274.100006,287.799988,265.950012,282.549988,257.498627,62400,780,783.849976,740,746.450012,636.000366,33784,65.449997,65.449997,55.200001,55.849998,55.163334,153756,,,
29-10-2018,281.950012,294,276,289.399994,263.741364,112722,750,769,740.049988,756.650024,644.691101,94952,57.799999,77.949997,55,69.599998,68.744278,220989,,,
05-11-2018,290,326.75,287.600006,318.100006,289.89679,97284,759,948,752.849976,919.900024,783.785583,593163,69.650002,72.650002,63,65.349998,64.546539,115435,,,
12-11-2018,311.049988,312,281.950012,282.600006,257.54425,77777,935,938.900024,820.599976,824.5,702.501587,275607,66.800003,67.150002,57.599998,62.400002,61.632805,135745,,,
19-11-2018,283,288.950012,275.700012,281.5,256.54184,92189,833.5,840,794,796.849976,678.94281,85631,63.75,65,58.599998,61.650002,60.892029,67596,,,
26-11-2018,283,288.350006,274.25,281.299988,256.359528,57503,805,865,777,790.299988,673.362061,121807,61.700001,62.950001,56.200001,60.200001,59.459854,297812,,,
03-12-2018,282,282.100006,270,270.799988,246.790421,54381,789,799,759,761.700012,648.993896,47277,60.25,64.400002,60.049999,62.700001,61.929115,268973,,,
10-12-2018,270,288.100006,260,282.600006,257.54425,92403,752.200012,784,743,767.75,654.148743,61190,62.700001,67.150002,60.150002,64.800003,64.003304,127977,,,
17-12-2018,282.600006,287.899994,276.600006,284.700012,259.458099,59713,772,800,771.349976,786.099976,669.783508,69641,66.349998,84.400002,64.5,75.349998,74.423584,1377218,,,
24-12-2018,285,285,273.149994,275.549988,251.119324,33999,791.099976,793.950012,775,790.599976,673.617737,22648,78,84.800003,75.150002,79.400002,78.423798,308539,,,
31-12-2018,277.25,284.399994,273.049988,275.149994,250.754776,81599,790.049988,828,781.900024,814.700012,694.151611,220660,79.849998,80.800003,73.150002,73.449997,72.546944,178722,,,
07-01-2019,277.299988,320.100006,275.350006,285.799988,260.460571,202839,797,804.799988,773.25,775.799988,661.007629,164017,75,77.099998,71.949997,75.849998,74.917442,166859,,,
14-01-2019,288,296.700012,277,284.350006,259.13913,108091,767.849976,791.75,767.849976,784.5,668.420227,181349,75.050003,82.199997,74.849998,79.699997,78.720093,207022,,,
21-01-2019,283.799988,284,261.350006,263.649994,240.274384,76888,777,787.700012,738.650024,742.049988,632.251343,44504,80.199997,94,78.550003,83.599998,82.572159,609686,,,
28-01-2019,263.049988,265.950012,254.899994,257.200012,234.396271,57295,754.900024,754.900024,703,705.5,601.109619,61831,85.900002,90,74.900002,75.050003,74.127281,1476758,,,
04-02-2019,260,260,231,245.699997,223.915863,92257,708.299988,708.299988,636.049988,650,553.821716,70117,75.099998,75.099998,70.099998,72.349998,71.460472,182041,,,
11-02-2019,251,263.799988,225,239.550003,218.311157,586487,659,667.900024,618.25,624.049988,531.711487,83841,72,73,67.150002,68.300003,67.460274,181216,,,
18-02-2019,235.050003,257,235.050003,252.949997,230.523071,282143,629.049988,694.900024,610.049988,661,563.194153,208241,69,72.599998,66.300003,71.550003,70.670319,204454,,,
25-02-2019,249.399994,316.600006,245.050003,286.850006,261.417419,2230105,661.200012,676.950012,638,670.75,571.501404,217183,72.300003,72.449997,68.449997,71.099998,70.225838,166743,,,
04-03-2019,286.850006,292.399994,270,273.799988,249.52446,296371,670.75,704,661.549988,665,566.602234,75886,71.099998,80.400002,70.25,75.900002,74.966835,294067,,,
11-03-2019,275.899994,290,274.200012,286.200012,260.825104,241733,671.849976,700.900024,665.150024,674.099976,574.355713,96009,77.300003,86.300003,73.800003,82.099998,81.090599,570135,,,
18-03-2019,290,296,285,286.700012,261.280762,180521,675,718.799988,675,707.950012,603.197083,269145,82.099998,82.25,74.5,75.449997,74.522354,243085,,,
25-03-2019,283.799988,301.899994,277.549988,283.299988,258.18219,335469,707.950012,777,699.349976,706.450012,601.919006,311453,75.050003,75.800003,68.150002,73.050003,72.151871,988039,,,
01-04-2019,285,292,280.600006,287.5,266.967651,139186,702,729.5,702,712.950012,624.165771,112585,73.949997,78.699997,72,75.199997,74.275429,461377,,,
08-04-2019,295,320.899994,289,307.549988,285.585754,1888802,711,728.799988,705.099976,710.549988,622.064697,70881,76.199997,81.25,73.199997,77.400002,76.448395,290386,,,
15-04-2019,307,309.399994,288,288.850006,268.221222,153776,717.25,717.25,697.049988,699.849976,612.697144,24996,77.699997,79.849998,75.150002,75.900002,74.966835,146777,,,
22-04-2019,288,295.850006,282.049988,282.649994,262.463959,91965,695,719.799988,670,677.700012,593.305481,39523,75.150002,77.449997,74.400002,76.199997,75.263138,109963,,,
29-04-2019,282.649994,284.899994,275.100006,277.899994,258.053223,53371,677.700012,678,643.349976,652.75,571.462524,34449,76.199997,77.800003,73.650002,74.5,73.584045,84312,,,
06-05-2019,275,291.700012,268.100006,272.450012,252.992523,174652,650,657.700012,631,640.5,560.738037,37046,74.699997,75.300003,69.300003,71.099998,70.225838,158957,,,
13-05-2019,270,277.899994,250.649994,263.75,244.913834,103593,636,649,620.849976,636.549988,557.279968,44195,70,73,68.849998,69.800003,68.941826,100897,,,
20-05-2019,270,316,267.100006,308.600006,286.56076,387620,650.099976,698,643.150024,678.799988,594.268433,186128,71.699997,77.699997,70.150002,72.400002,71.509865,202486,,,
27-05-2019,312,340.899994,295.600006,298.75,277.414185,546574,684.799988,741,683.299988,710.299988,621.845825,214269,72.5,79.25,71.449997,73.349998,72.448174,366647,,,
03-06-2019,299.049988,306.75,288.649994,290.649994,269.89267,100858,710,758,700,713.650024,624.778625,416783,73,75.800003,70,74.050003,73.139572,337582,,,
10-06-2019,290.049988,317.799988,281.5,299.899994,278.482056,508384,715.099976,719.049988,683.650024,686.450012,600.965942,35370,74.150002,79.199997,73,73.75,72.843254,510525,,,
17-06-2019,301.399994,322.799988,293.5,305.5,283.682159,614940,682.099976,703.049988,670,699.349976,612.25946,41465,73.75,76.400002,70.050003,71.349998,70.472771,258749,,,
24-06-2019,303.25,341.899994,293,339.75,315.486176,1183698,700,749,698.900024,714.5,625.522766,579316,72.849998,74.5,69.900002,72.849998,71.954323,400404,,,
01-07-2019,336.899994,345,314.950012,318.049988,295.335846,476838,711.5,729,680,695.150024,608.582458,54052,72.050003,74.5,70.099998,71.050003,70.176453,138766,,,
08-07-2019,317.850006,317.850006,292,300.25,278.807068,193871,688.5,696.950012,665.299988,674.549988,590.547729,30001,72.949997,73.349998,65.599998,66.050003,65.23793,268592,,,
15-07-2019,298,314.899994,293.25,304.700012,282.939301,163553,675.049988,682.900024,668.099976,675.049988,590.985596,33566,66.650002,66.900002,54.349998,55.400002,54.718868,291749,,,
22-07-2019,308,308,291.600006,300.549988,279.085632,144211,670,688,667,675.950012,591.773438,38903,55.099998,56.849998,49,54,53.336082,255929,,,
29-07-2019,301.350006,312,285.600006,297.350006,276.114166,180758,675,688,640,642.799988,562.751587,27357,56.5,60.25,50,53.799999,53.138542,313457,,,
05-08-2019,290,299,283.25,295.25,274.164154,131522,642.799988,649.950012,625,642.25,562.270142,20519,56.349998,61.900002,53.549999,58.049999,57.336285,453511,,,
12-08-2019,295.25,300.950012,285.850006,290.649994,269.89267,97770,642.25,680,627.799988,652.5,571.243591,52125,58.049999,58.700001,56.099998,56.950001,56.249813,61760,,,
19-08-2019,288.5,297,262.200012,274.5,254.896088,104465,641.099976,670,634,645.849976,565.421753,58949,57.099998,58.25,51,52.299999,51.656982,124734,,,
26-08-2019,280,291,275,280,260.003265,79367,675,675,638.5,650.049988,569.098755,23399,56.25,58,52,56,55.311497,375161,,,
02-09-2019,280,295.100006,270.149994,276.75,256.985352,133672,650.049988,675.599976,634.349976,673.400024,589.540955,20708,56,56.25,53.200001,55.549999,54.867023,78845,,,
09-09-2019,282,288.75,276.25,284.5,264.181915,103688,701.700012,715.75,683,705.650024,617.774841,73145,55.549999,64.699997,54.650002,62.599998,61.830341,184280,,,
16-09-2019,282.700012,292.899994,279.049988,289.350006,268.685516,141458,710,776,706,756.099976,661.942261,379223,61.549999,69.400002,61.5,64.900002,64.431366,449696,,,
23-09-2019,298.899994,324.799988,290.649994,305.75,285.587738,771898,760,770,725,729.400024,638.567261,81413,67.5,72,64.199997,65.900002,65.424141,306934,,,
30-09-2019,303.399994,307,285.350006,291.350006,272.137329,157322,743,743,661.5,695.650024,609.020203,42620,68.5,68.849998,60.900002,61.150002,60.708443,84978,,,
07-10-2019,295,295,280.5,281.850006,263.263824,84193,700,727.650024,687.700012,720.150024,630.469177,48945,61.099998,67.5,59.799999,63.700001,63.240025,133768,,,
14-10-2019,282.649994,292,277,287,268.074188,114980,716,728.549988,701.5,709.549988,621.189209,53389,64.199997,65.400002,60,62.900002,62.445805,89696,,,
21-10-2019,287,303.899994,283.25,302.799988,282.832245,153427,709.549988,770,706.700012,747.549988,654.457031,54740,62.900002,64,57.049999,59.950001,59.517105,133870,,,
28-10-2019,302.799988,348,301.5,331.549988,309.686371,590329,747.549988,815,745.5,785.849976,687.987488,192356,59.950001,68.900002,58.799999,68.25,67.757164,299456,,,
04-11-2019,334,350,315.25,327.950012,306.323792,325593,794,798.049988,750.650024,759.049988,664.524902,58093,77.800003,78,63.400002,64.400002,63.934975,931603,,,
11-11-2019,323.100006,364.799988,323.100006,333.549988,311.554504,906461,755.5,823.450012,755.5,804.299988,704.139832,213887,64.300003,65,59.799999,61.299999,60.857357,195099,,,
18-11-2019,332.049988,361.799988,321,349.450012,326.406006,745140,800.299988,827.849976,780.349976,793.799988,694.94751,142378,61.049999,62.799999,59.849998,60.599998,60.162411,99529,,,
25-11-2019,346,355.149994,329,333.350006,311.367706,323920,794,818.849976,770.049988,774.950012,678.444885,95806,60.25,64.400002,59,60.099998,59.666016,214008,,,
02-12-2019,330,342.100006,297.299988,301,281.15097,276945,776,792.849976,760,766.400024,670.959656,56780,60.099998,61.950001,56.5,57,56.588406,142934,,,
09-12-2019,299.450012,303,283.049988,290.649994,271.483459,295299,762,774,736.799988,758.650024,664.174744,50968,57.5,58.299999,53.599998,55.150002,54.751766,114926,,,
16-12-2019,292,293.399994,282.299988,283,264.337952,224982,756,763.049988,719,724.599976,634.36499,48115,58,58,53.5,56.549999,56.141655,119594,,,
23-12-2019,282.799988,314.850006,282.100006,301.450012,281.57135,534826,724,739,711,716.400024,627.186035,30514,56.549999,56.950001,53.700001,54.900002,54.503574,62446,,,
30-12-2019,303.649994,310.5,291.850006,303.899994,283.859711,239157,718.5,756.900024,718.5,736.900024,645.133362,169640,54.75,62.099998,54.299999,60.849998,60.410606,253999,,,
06-01-2020,304.450012,308.700012,290,297.850006,278.20874,190527,731.099976,749.099976,721.700012,736.450012,644.739319,46816,61.900002,62,57.049999,59.700001,59.268909,183672,,,
13-01-2020,298,332,298,312.75,292.12616,656289,759.5,867.25,751.25,824,721.386597,634381,59.299999,67.400002,59.299999,63.599998,63.140747,375465,,,
20-01-2020,313.399994,322.950012,301,303.450012,283.439453,1144873,810.150024,895.900024,800.950012,852.849976,746.643982,331815,63.25,64.449997,60.049999,60.75,60.311325,266854,,,
27-01-2020,298.5,310.950012,279.700012,283,264.337952,367083,854.700012,872.700012,760.099976,769.150024,673.367188,117607,60.950001,61.900002,55.099998,56.599998,56.191296,191512,,,
03-02-2020,283.100006,308.700012,275,296.450012,276.901001,623051,760,825,755.299988,777.049988,680.283447,136288,57.700001,59.200001,53.400002,58.700001,58.276131,145271,,,
10-02-2020,295,298.649994,269,274,255.931442,270859,777.049988,795,745.099976,748.75,655.507568,178148,62,63.900002,55.5,56,55.595631,221142,,,
17-02-2020,278,305.799988,260.100006,294.200012,274.799408,862678,783,784.950012,698.75,736.299988,644.608032,492726,56.099998,60.549999,54,58,57.581184,135870,,,
24-02-2020,281.200012,323.899994,269.100006,274.149994,256.071533,1571287,737.900024,744.700012,683.049988,686.049988,600.615662,460164,57.049999,63.200001,54,55.150002,54.751766,278309,,,
02-03-2020,280.399994,286,244.949997,249.899994,238.487122,589029,696,708,620,621.599976,544.19165,154633,56,57.400002,50,51.700001,51.326679,162045,,,
09-03-2020,245.800003,246,333.2607269,204.75,195.399124,409598,623.75,623.75,472,534.200012,467.67569,129027,51.200001,51.700001,32,33,32.761707,554465,,,
16-03-2020,202,205.850006,333.2607269,181.550003,173.258652,336201,530,620,514.25,565.150024,494.771423,307222,32.900002,36.200001,24.049999,29.950001,29.733734,677921,,,
23-03-2020,165,201.199997,333.2607269,184.949997,176.503372,364464,470,595,470,525.150024,459.752686,219217,28.5,28.700001,22.5,25.799999,25.613701,588875,,,
30-03-2020,173,191.800003,333.2607269,183.949997,175.549057,125107,525,561,503.350006,529.549988,492.585449,87258,24.549999,27.5,21.299999,27.450001,27.251787,362283,,,
06-04-2020,183.949997,229,333.2607269,216.149994,206.278458,553921,529.549988,622,525,548.25,509.980225,263201,27.450001,29.450001,26.65,28.700001,28.49276,252693,,,
13-04-2020,235,248.399994,219.449997,232.149994,221.54776,528127,585.25,595,547,559.799988,520.723938,303340,29,43.900002,28,43.900002,43.583,797345,,,
20-04-2020,230.550003,237.25,214.600006,216.800003,206.898788,161215,563,571.700012,530,533,495.794647,103232,45.900002,46.900002,35.900002,37.049999,36.782463,688628,,,
27-04-2020,220,224.399994,209.5,216.300003,206.421631,116902,539.700012,539.700012,513.549988,527.150024,490.353027,110540,37.049999,41.5,37,40.400002,40.108276,223721,,,
04-05-2020,215,238,207.100006,218.399994,208.42572,1713757,520,530.799988,500,501.850006,466.819092,445995,37.650002,40.5,34.400002,35.200001,34.945824,211558,,,
11-05-2020,219,245,213.649994,239.399994,228.466644,1951679,502,528,489.049988,523.099976,486.585724,473191,37.75,37.75,32.25,32.849998,32.612793,110511,,,
18-05-2020,250,252,222.25,225.149994,214.867447,701596,551,569,510.149994,534.75,497.422485,1030720,34.299999,42.849998,34.150002,36.5,36.236439,965390,,,
25-05-2020,225.149994,244.5,219.949997,235,224.267593,617559,534.75,580.25,522.650024,556.150024,517.328674,453849,36.5,38.200001,34.200001,37.049999,36.782463,236265,,,
01-06-2020,238.350006,257,234,243.100006,231.997681,914771,560,636,555.150024,631.099976,587.046936,763509,38,42.900002,37.400002,42.25,41.944916,432221,,,
08-06-2020,244.949997,259,224,235.649994,224.887924,575897,635.700012,678,619,655.5,609.743713,339070,46.950001,59.700001,44.950001,49.900002,49.53968,3426117,,,
15-06-2020,232,277.5,231.649994,266.75,254.567581,1914577,663.700012,746,651.049988,708.049988,658.625549,633824,49.900002,59,46.799999,52.75,52.369095,2326368,,,
22-06-2020,268.299988,311.899994,257,290.850006,277.566956,1730506,711,817.900024,691,761.75,708.577087,1517026,52.75,56.299999,51.150002,52.400002,52.021626,818160,,,
29-06-2020,296,381,293.5,374.299988,357.20575,17617871,765,865,744.650024,852.400024,792.899414,2927702,52.049999,56.349998,48.799999,53.799999,53.411514,808091,,,
06-07-2020,384.200012,455,374.299988,405.850006,387.314911,32426251,856,1028,825,942.400024,876.617065,10876381,53.799999,54.950001,51.049999,51.700001,51.326679,575658,,,
13-07-2020,408.799988,415,354.5,391.5,373.6203,6755931,950,965,825,937.25,871.826599,2888899,52,61.700001,51.549999,53.950001,53.560432,2969190,,,
20-07-2020,398,403.5,372.5,379.549988,362.216003,5209112,944,954,897.950012,909.700012,846.199585,2540759,54.650002,55,51.5,52,51.624512,585608,,,
27-07-2020,381.600006,404.899994,370,384.850006,367.273987,3422509,912,929.900024,865.650024,872.450012,811.549805,1293327,53.200001,64,49.700001,58.799999,58.375412,4855808,,,
03-08-2020,384.799988,429.399994,380.600006,419.450012,400.293854,6101606,861.549988,987,860.099976,949.450012,883.174988,2814696,58.799999,71,58.400002,67.150002,66.665115,7874025,,,
10-08-2020,457,481.700012,415.25,455.149994,434.363434,13411644,1033,1423,1001,1293.599976,1203.302002,14141975,73.949997,92.349998,70,88.849998,88.20842,9339641,,,
17-08-2020,458.649994,459.450012,433.100006,437.350006,417.376343,3401960,1330.050049,1354,1200,1211.5,1126.932861,7599165,91.699997,97,84.800003,89.5,88.853729,4881853,,,
24-08-2020,441.299988,444.399994,410,424.850006,405.447205,3857267,1223.400024,1225,981.599976,1010.599976,940.056396,15537173,90.5,94.949997,84.349998,88.949997,88.307701,2574031,,,
31-08-2020,427,429.950012,371.049988,390.450012,372.618256,2667528,982,987.900024,871,911,847.408875,12539064,89.900002,89.900002,71.5,73.650002,73.118179,2758260,,,
07-09-2020,391.75,395,310.549988,315.299988,300.90033,11343221,914.049988,923.950012,835.049988,852.450012,792.945923,4878040,74,75,62.5,72,71.480087,2134947,,,
14-09-2020,320.049988,323,307.600006,318.5,303.954193,3386907,852.549988,864.700012,822.25,841.900024,783.132324,3760175,73.449997,85.349998,72,81.699997,81.564125,4654169,,,
21-09-2020,319.399994,321.850006,280.399994,298.299988,287.006744,3247184,842.849976,849.799988,744.25,767.700012,714.111755,4562187,83.650002,84.300003,72.550003,76.449997,76.322853,1527140,,,
28-09-2020,301.75,325.950012,296.350006,323.799988,311.541351,2671872,775.099976,821.950012,765,799.349976,743.552429,2799606,77.099998,85.5,77.099998,81,80.865295,1479774,,,
05-10-2020,325,333.399994,302,304.399994,292.875824,1755121,805,828.700012,781,785.650024,730.808716,2035644,83.5,84.800003,80.050003,83.5,83.36113,1663929,,,
12-10-2020,304.600006,307.5,288.450012,295.200012,284.024139,1352551,788.799988,792.950012,740,743.400024,691.507874,1691990,84.5,89.25,76.449997,80.349998,80.216377,1701532,,,
19-10-2020,297,306.899994,290.649994,303.450012,291.961792,1101828,748.900024,751,693,717.950012,667.834473,2873347,81.449997,83.199997,78.099998,78.75,78.619034,1072500,,,
26-10-2020,305.799988,305.799988,288,289.399994,278.443726,534446,723,723.049988,684.400024,687.099976,639.137939,1568344,79,79.550003,71.75,73.949997,73.827011,699705,,,
02-11-2020,293,303.450012,285.5,301.850006,290.422333,1080216,691,719,658,702.349976,653.323364,2412933,71.900002,78,69,74,73.87693,1114834,,,
09-11-2020,308.799988,319,297,309.399994,297.686554,1710236,708,786.400024,698.400024,776.25,722.06488,3128225,74.150002,79.900002,71.099998,76.400002,76.272942,1392480,,,
16-11-2020,306.450012,315,304,307.549988,295.906525,775252,760.849976,790,760.849976,772.200012,718.297668,1453207,75.150002,77.650002,74,74.199997,74.076599,406579,,,
23-11-2020,315,331.649994,306.75,327.700012,315.293732,3045242,775,825.799988,733,818.5,761.365662,3330717,74.150002,82.400002,73.349998,79.349998,79.218033,2666239,,,
30-11-2020,327.700012,332,320.200012,322.600006,310.38681,891118,818.5,859.349976,818,842.650024,783.829956,1857368,79.349998,81.199997,77.849998,78.550003,78.419373,797836,,,
07-12-2020,328.850006,356,328.25,339.799988,326.935608,3665969,846.900024,894.5,843,856.799988,796.99231,2817722,78.449997,96,78,87.550003,87.404404,5698799,,,
14-12-2020,339.950012,347.5,335.299988,341.899994,328.956116,1049231,862,885,856.099976,863.799988,803.503601,1523776,88.400002,92.75,85.300003,87.349998,87.204735,1697621,,,
21-12-2020,341.799988,341.799988,297.100006,329.049988,316.592621,869953,860.099976,871.700012,761,822.25,778.116577,1421048,85.199997,93.800003,73.5,89.199997,89.051651,3425503,,,
28-12-2020,330.100006,348.950012,326,348.100006,334.921417,2262728,825,863,818,856.799988,810.812134,1431638,91.300003,94,86,89.599998,89.450989,2312473,,,
04-01-2021,352.899994,360.600006,337.149994,345.5,332.41983,3091610,861.950012,963.950012,856.799988,912.5,863.522522,4744097,89.650002,103.900002,88.5,98.75,98.58577,12171683,,,
11-01-2021,347.200012,365.899994,335,345.299988,332.227386,4237874,936,1048,897,967.099976,915.191833,10876712,101.400002,102.949997,93.5,94.599998,94.442673,2304984,,,
18-01-2021,345.299988,346.450012,331,335.200012,322.509796,1342645,970,989.450012,941.25,948,897.117065,2271909,95,95,87.300003,89.050003,88.901901,1028813,,,
25-01-2021,341,342.299988,323.950012,331,318.468781,637561,964,968.450012,901.700012,925.299988,875.635437,1159921,89.949997,91.300003,84.650002,88.849998,88.70224,923069,,,
01-02-2021,332.799988,339.850006,330.5,337.600006,324.818939,1054718,940,1019,906,1013.349976,958.959351,4333787,87.800003,92.900002,85.150002,89.400002,89.251328,1132995,,,
08-02-2021,339.399994,380,337.899994,353.5,340.116943,7284844,1021,1064.800049,990.200012,1026.5,971.403625,4698650,90.900002,90.900002,84.599998,85.050003,84.908562,680757,,,
15-02-2021,356.100006,362.5,337.25,339.5,326.646942,1424871,1042.300049,1083,1005.950012,1061.349976,1004.383057,3381637,85.25,87.800003,81.800003,85.300003,85.15815,766014,,,
22-02-2021,339.950012,360,337,350.299988,337.038086,2472257,1066,1115,1011,1087.050049,1028.703735,3530942,85.800003,87.949997,83,84.550003,84.409393,1100097,,,
01-03-2021,354.799988,391.049988,353.549988,361.649994,347.958405,4476711,1103.650024,1123.849976,1047.849976,1054.050049,997.474915,1868416,85.400002,90,83.800003,84.650002,84.509224,1317655,,,
08-03-2021,364.700012,370.950012,356.049988,362.5,348.776215,1072265,1070.050049,1088.949951,1054,1061.25,1018.207275,1007353,84.75,92.800003,83.599998,88.550003,88.40274,2218328,,,
15-03-2021,364.299988,368.100006,330.100006,345.649994,332.564117,1747300,1061.199951,1080,982.5,1032.050049,990.19165,3567726,89.400002,93.150002,71.550003,85,84.858643,2692889,,,
22-03-2021,363,367,331,341.600006,335.061432,2385057,1032.050049,1055.949951,973,986.950012,946.920776,1122389,85,86.099998,77.099998,77.949997,77.820366,787939,,,
29-03-2021,341.600006,345,332,337.950012,331.481293,386024,986.950012,1052,985.25,1035.650024,993.64563,1262358,77.949997,80.599998,77,79.650002,79.517532,313890,,,
05-04-2021,337.5,346.950012,332.100006,344.149994,337.562592,507906,1040,1041,992.200012,1000.450012,959.873291,961527,79.800003,83.550003,77.449997,80.949997,80.815376,679217,,,
12-04-2021,338,340,325.5,335.950012,329.519592,546062,993,993,946.299988,964.5,925.381409,558405,79.800003,80,75,76.800003,76.672279,351224,,,
19-04-2021,325.100006,331.899994,321.100006,324.5,318.288727,383682,948,964.150024,929,956.849976,918.041565,509329,75.300003,76.300003,66.800003,74.449997,74.326187,294835,,,
26-04-2021,327.75,351.899994,324.549988,336.850006,330.402344,1024220,956.849976,974.900024,941.150024,957.25,918.425354,717776,75.599998,80.5,74.150002,74.449997,74.326187,894199,,,
03-05-2021,336.75,339.899994,326,335.100006,328.685822,505890,955.700012,979.799988,942,960.450012,921.495605,787072,73.25,75.5,72,73.25,73.128181,642799,,,
